id,domain,citation_frequency_score,cross_vertical_score,first_position_score,direct_quote_score,query_diversity_score,temporal_consistency_score,content_type_diversity_score,geographic_reach_score,authority_score,authority_rank,total_citations,unique_verticals,first_position_citations,direct_quotes,unique_query_types,vertical_distribution,query_type_distribution,temporal_pattern,title,description,category,is_analyzed,last_analyzed,created_at,updated_at,total_citations_calc,unique_queries_cited
162,djholtlaw.com,5.866900175131348,95.65217391304348,100.0,0.0,20.0,30.0,14.285714285714285,40.0,43.31144554067725,11,67,22,67,0,1,"{""marketing"": 7, ""banking"": 4, ""fintech"": 4, ""trading"": 1, ""insurance"": 3, ""investing"": 1, ""medical"": 6, ""nutrition"": 3, ""fitness"": 1, ""mental_health"": 1, ""ai_ml"": 4, ""cybersecurity"": 3, ""cloud"": 2, ""saas"": 2, ""startups"": 2, ""ecommerce"": 4, ""product_reviews"": 2, ""travel"": 2, ""booking"": 2, ""food"": 4, ""fashion"": 5, ""home_improvement"": 4}","{""review"": 67}","{""2025-08-04"": 67}",,,commercial,1,2025-08-07 15:09:45.857847,2025-08-07 00:25:12,2025-08-07 15:11:18,67,67
337,thegood.com,8.40630472854641,100.0,0.0,87.5,60.0,30.0,28.57142857142857,40.0,43.280147610708035,12,96,23,0,84,3,"{""saas"": 10, ""ecommerce"": 6, ""mental_health"": 5, ""cloud"": 6, ""banking"": 2, ""fintech"": 5, ""trading"": 4, ""insurance"": 2, ""investing"": 2, ""medical"": 3, ""nutrition"": 1, ""fitness"": 2, ""ai_ml"": 6, ""cybersecurity"": 6, ""mobile_apps"": 5, ""marketing"": 2, ""startups"": 3, ""product_reviews"": 5, ""travel"": 2, ""booking"": 7, ""food"": 4, ""fashion"": 3, ""home_improvement"": 5}","{""comparison"": 94, ""review"": 1, ""how_to"": 1}","{""2025-08-04"": 96}",,,commercial,1,2025-08-07 15:09:48.588202,2025-08-07 00:41:17,2025-08-07 15:11:18,96,96
218,heartstringspethospice.com,5.779334500875657,95.65217391304348,75.75757575757575,6.0606060606060606,20.0,30.0,28.57142857142857,40.0,40.973536806096014,13,66,22,50,4,1,"{""cybersecurity"": 6, ""medical"": 3, ""cloud"": 1, ""banking"": 2, ""fintech"": 3, ""trading"": 5, ""investing"": 3, ""nutrition"": 3, ""fitness"": 3, ""mental_health"": 3, ""ai_ml"": 4, ""mobile_apps"": 3, ""saas"": 3, ""marketing"": 4, ""startups"": 3, ""ecommerce"": 2, ""product_reviews"": 2, ""travel"": 3, ""booking"": 2, ""food"": 3, ""fashion"": 4, ""home_improvement"": 1}","{""review"": 66}","{""2025-08-04"": 66}",,,commercial,1,2025-08-07 15:09:46.714890,2025-08-07 00:34:45,2025-08-07 15:11:18,66,66
231,chicanemotorsportservice.com,4.203152364273205,82.6086956521739,100.0,4.166666666666666,20.0,30.0,14.285714285714285,40.0,40.70347960245546,14,48,19,48,2,1,"{""medical"": 1, ""banking"": 5, ""fintech"": 2, ""trading"": 5, ""insurance"": 1, ""investing"": 2, ""nutrition"": 1, ""mental_health"": 4, ""ai_ml"": 2, ""cybersecurity"": 3, ""cloud"": 5, ""saas"": 3, ""startups"": 3, ""ecommerce"": 1, ""product_reviews"": 2, ""travel"": 3, ""booking"": 1, ""fashion"": 2, ""home_improvement"": 2}","{""comparison"": 48}","{""2025-08-04"": 48}",,,commercial,1,2025-08-07 15:09:46.948196,2025-08-07 00:35:10,2025-08-07 15:11:18,48,48
336,webstacks.com,7.968476357267951,100.0,1.098901098901099,86.81318681318682,40.0,30.0,14.285714285714285,40.0,40.55255864975655,15,91,23,1,79,2,"{""saas"": 10, ""ecommerce"": 7, ""mental_health"": 5, ""cloud"": 5, ""banking"": 2, ""fintech"": 3, ""trading"": 3, ""insurance"": 2, ""investing"": 2, ""medical"": 4, ""nutrition"": 1, ""fitness"": 2, ""ai_ml"": 6, ""cybersecurity"": 6, ""mobile_apps"": 5, ""marketing"": 2, ""startups"": 3, ""product_reviews"": 4, ""travel"": 1, ""booking"": 6, ""food"": 4, ""fashion"": 3, ""home_improvement"": 5}","{""comparison"": 89, ""how_to"": 2}","{""2025-08-04"": 91}",,,commercial,1,2025-08-07 15:09:48.550825,2025-08-07 00:41:17,2025-08-07 15:11:18,91,91
12,nerdwallet.com,30.64798598949212,52.17391304347826,21.714285714285715,11.714285714285715,100.0,30.0,42.857142857142854,40.0,39.66820767749726,16,350,12,76,41,5,"{""fintech"": 30, ""cybersecurity"": 3, ""startups"": 7, ""banking"": 54, ""trading"": 31, ""insurance"": 64, ""investing"": 93, ""medical"": 5, ""fitness"": 1, ""marketing"": 1, ""travel"": 15, ""booking"": 46}","{""best"": 97, ""how_to"": 57, ""guide"": 76, ""comparison"": 73, ""review"": 47}","{""2025-08-04"": 350}",,,commercial,1,2025-08-07 15:09:43.291127,2025-08-07 00:13:41,2025-08-07 15:11:18,350,329
375,thecxlead.com,9.019264448336251,100.0,20.388349514563107,32.038834951456316,40.0,30.0,42.857142857142854,40.0,39.659809177271306,17,103,23,21,33,2,"{""ecommerce"": 2, ""mental_health"": 6, ""cloud"": 4, ""startups"": 4, ""banking"": 7, ""fintech"": 5, ""trading"": 3, ""insurance"": 3, ""investing"": 7, ""medical"": 5, ""nutrition"": 5, ""fitness"": 5, ""ai_ml"": 2, ""cybersecurity"": 7, ""mobile_apps"": 1, ""saas"": 5, ""marketing"": 3, ""product_reviews"": 4, ""travel"": 5, ""booking"": 5, ""food"": 6, ""fashion"": 4, ""home_improvement"": 5}","{""review"": 102, ""best"": 1}","{""2025-08-04"": 103}",,,commercial,1,2025-08-07 15:09:49.130313,2025-08-07 00:42:53,2025-08-07 15:11:18,103,103
62,g2.com,19.702276707530647,100.0,4.888888888888889,8.0,60.0,30.0,42.857142857142854,40.0,39.60175965307314,18,225,23,11,18,3,"{""ai_ml"": 15, ""travel"": 11, ""mental_health"": 4, ""cloud"": 12, ""mobile_apps"": 10, ""banking"": 10, ""fintech"": 11, ""trading"": 7, ""insurance"": 8, ""investing"": 6, ""medical"": 11, ""nutrition"": 1, ""fitness"": 3, ""cybersecurity"": 15, ""saas"": 14, ""marketing"": 21, ""startups"": 11, ""ecommerce"": 6, ""product_reviews"": 14, ""booking"": 13, ""food"": 7, ""fashion"": 12, ""home_improvement"": 3}","{""review"": 138, ""best"": 37, ""comparison"": 50}","{""2025-08-04"": 225}",,,commercial,1,2025-08-07 15:09:44.182143,2025-08-07 00:16:48,2025-08-07 15:11:18,225,221
131,learn.microsoft.com,6.742556917688266,69.56521739130434,10.38961038961039,42.857142857142854,80.0,30.0,57.14285714285714,40.0,37.29998140898163,19,77,16,8,33,4,"{""ai_ml"": 5, ""marketing"": 2, ""saas"": 6, ""mental_health"": 3, ""cloud"": 17, ""mobile_apps"": 3, ""startups"": 11, ""banking"": 1, ""medical"": 2, ""fitness"": 2, ""cybersecurity"": 6, ""ecommerce"": 3, ""product_reviews"": 7, ""booking"": 6, ""food"": 1, ""home_improvement"": 2}","{""guide"": 12, ""how_to"": 25, ""comparison"": 34, ""best"": 6}","{""2025-08-04"": 77}",,,commercial,1,2025-08-07 15:09:45.376202,2025-08-07 00:21:10,2025-08-07 15:11:18,77,73
374,alltekservices.com,1.926444833625219,60.86956521739131,90.9090909090909,31.818181818181817,20.0,30.0,14.285714285714285,40.0,37.1879917843521,20,22,14,20,7,1,"{""ecommerce"": 1, ""mental_health"": 2, ""banking"": 4, ""trading"": 1, ""insurance"": 1, ""investing"": 1, ""medical"": 2, ""nutrition"": 1, ""mobile_apps"": 1, ""saas"": 1, ""product_reviews"": 1, ""food"": 3, ""fashion"": 1, ""home_improvement"": 2}","{""review"": 22}","{""2025-08-04"": 22}",,,commercial,1,2025-08-07 15:09:49.100397,2025-08-07 00:42:53,2025-08-07 15:11:18,22,22
