query_type,total_citations,unique_domains,avg_position,direct_quotes
best,4935,2279,2.9941236068895645,244
comparison,4714,1628,2.955876113703861,887
guide,4784,1772,2.993938127090301,534
how_to,4945,2389,2.9981799797775532,178
review,4558,756,2.9861781483106626,623
