Metric,Value
Total Domains,6606.0
Total Queries,4835.0
Total Citations,23936.0
Total Verticals,23.0
Domains with Authority Scores,6606.0
Average Authority Score,14.67290068049212
Max Authority Score,66.94145609206905
Min Authority Score,8.627633768804865
Total Cost,26.092584000000002
Average Cost per Query,0.0054066688769167015
